sample	species	abundance
SL259925	Halococcus_unclassified	0
SL259926	Halococcus_unclassified	0
SL259927	Halococcus_unclassified	0
SL259928	Halococcus_unclassified	0
SL259934	Halococcus_unclassified	0
SL259935	Halococcus_unclassified	0
SL259936	Halococcus_unclassified	0
SL259937	Halococcus_unclassified	0
SL259943	Halococcus_unclassified	0
SL259944	Halococcus_unclassified	0
SL259945	Halococcus_unclassified	0
SL259946	Halococcus_unclassified	0
SL259925	Natrialba_unclassified	0
SL259926	Natrialba_unclassified	0
SL259927	Natrialba_unclassified	0
SL259928	Natrialba_unclassified	0
SL259934	Natrialba_unclassified	0
SL259935	Natrialba_unclassified	0
SL259936	Natrialba_unclassified	0
SL259937	Natrialba_unclassified	0
SL259943	Natrialba_unclassified	0
SL259944	Natrialba_unclassified	0
SL259945	Natrialba_unclassified	0
SL259946	Natrialba_unclassified	0
SL259925	Granulicella_unclassified	0
SL259926	Granulicella_unclassified	0
SL259927	Granulicella_unclassified	0
SL259928	Granulicella_unclassified	0
SL259934	Granulicella_unclassified	0
SL259935	Granulicella_unclassified	0
SL259936	Granulicella_unclassified	0
SL259937	Granulicella_unclassified	0
SL259943	Granulicella_unclassified	0
SL259944	Granulicella_unclassified	0
SL259945	Granulicella_unclassified	0
SL259946	Granulicella_unclassified	0
SL259925	Terriglobus_unclassified	0
SL259926	Terriglobus_unclassified	0
SL259927	Terriglobus_unclassified	0
SL259928	Terriglobus_unclassified	0
SL259934	Terriglobus_unclassified	0
SL259935	Terriglobus_unclassified	0
SL259936	Terriglobus_unclassified	0
SL259937	Terriglobus_unclassified	0
SL259943	Terriglobus_unclassified	0
SL259944	Terriglobus_unclassified	0
SL259945	Terriglobus_unclassified	0
SL259946	Terriglobus_unclassified	0
SL259925	Actinobaculum_unclassified	0
SL259926	Actinobaculum_unclassified	0
SL259927	Actinobaculum_unclassified	0
SL259928	Actinobaculum_unclassified	0
SL259934	Actinobaculum_unclassified	0
SL259935	Actinobaculum_unclassified	0
SL259936	Actinobaculum_unclassified	0
SL259937	Actinobaculum_unclassified	0
SL259943	Actinobaculum_unclassified	0
SL259944	Actinobaculum_unclassified	0
SL259945	Actinobaculum_unclassified	0
SL259946	Actinobaculum_unclassified	0
SL259925	Actinobaculum_urinale	0
SL259926	Actinobaculum_urinale	0
SL259927	Actinobaculum_urinale	0
SL259928	Actinobaculum_urinale	0
SL259934	Actinobaculum_urinale	0
SL259935	Actinobaculum_urinale	0
SL259936	Actinobaculum_urinale	0
SL259937	Actinobaculum_urinale	0
SL259943	Actinobaculum_urinale	0
SL259944	Actinobaculum_urinale	0
SL259945	Actinobaculum_urinale	0
SL259946	Actinobaculum_urinale	0
SL259925	Actinomyces_cardiffensis	0
SL259926	Actinomyces_cardiffensis	0
SL259927	Actinomyces_cardiffensis	0
SL259928	Actinomyces_cardiffensis	0
SL259934	Actinomyces_cardiffensis	0
SL259935	Actinomyces_cardiffensis	0
SL259936	Actinomyces_cardiffensis	0
SL259937	Actinomyces_cardiffensis	0
SL259943	Actinomyces_cardiffensis	0
SL259944	Actinomyces_cardiffensis	0
SL259945	Actinomyces_cardiffensis	0
SL259946	Actinomyces_cardiffensis	0
SL259925	Actinomyces_georgiae	0
SL259926	Actinomyces_georgiae	0
SL259927	Actinomyces_georgiae	0
SL259928	Actinomyces_georgiae	0
SL259934	Actinomyces_georgiae	0
SL259935	Actinomyces_georgiae	0
SL259936	Actinomyces_georgiae	0
SL259937	Actinomyces_georgiae	0
SL259943	Actinomyces_georgiae	0
SL259944	Actinomyces_georgiae	0
SL259945	Actinomyces_georgiae	0
SL259946	Actinomyces_georgiae	0
SL259925	Actinomyces_graevenitzii	0
SL259926	Actinomyces_graevenitzii	0
SL259927	Actinomyces_graevenitzii	0
SL259928	Actinomyces_graevenitzii	0
SL259934	Actinomyces_graevenitzii	0
SL259935	Actinomyces_graevenitzii	0
SL259936	Actinomyces_graevenitzii	0
SL259937	Actinomyces_graevenitzii	0
SL259943	Actinomyces_graevenitzii	0
SL259944	Actinomyces_graevenitzii	0
SL259945	Actinomyces_graevenitzii	0
SL259946	Actinomyces_graevenitzii	0
SL259925	Actinomyces_johnsonii	0
SL259926	Actinomyces_johnsonii	0
SL259927	Actinomyces_johnsonii	0
SL259928	Actinomyces_johnsonii	0
SL259934	Actinomyces_johnsonii	0
SL259935	Actinomyces_johnsonii	0
SL259936	Actinomyces_johnsonii	0
SL259937	Actinomyces_johnsonii	0
SL259943	Actinomyces_johnsonii	0
SL259944	Actinomyces_johnsonii	0
SL259945	Actinomyces_johnsonii	0
SL259946	Actinomyces_johnsonii	0
SL259925	Actinomyces_massiliensis	0
SL259926	Actinomyces_massiliensis	0
SL259927	Actinomyces_massiliensis	0
SL259928	Actinomyces_massiliensis	0
SL259934	Actinomyces_massiliensis	0
SL259935	Actinomyces_massiliensis	0
SL259936	Actinomyces_massiliensis	0
SL259937	Actinomyces_massiliensis	0
SL259943	Actinomyces_massiliensis	0
SL259944	Actinomyces_massiliensis	0
SL259945	Actinomyces_massiliensis	0
SL259946	Actinomyces_massiliensis	0
SL259925	Actinomyces_naeslundii	0
SL259926	Actinomyces_naeslundii	0
SL259927	Actinomyces_naeslundii	0
SL259928	Actinomyces_naeslundii	0
SL259934	Actinomyces_naeslundii	0
SL259935	Actinomyces_naeslundii	0
SL259936	Actinomyces_naeslundii	0
SL259937	Actinomyces_naeslundii	0
SL259943	Actinomyces_naeslundii	0
SL259944	Actinomyces_naeslundii	0
SL259945	Actinomyces_naeslundii	0
SL259946	Actinomyces_naeslundii	0
SL259925	Actinomyces_neuii	0
SL259926	Actinomyces_neuii	0
SL259927	Actinomyces_neuii	0
SL259928	Actinomyces_neuii	0
SL259934	Actinomyces_neuii	0
SL259935	Actinomyces_neuii	0
SL259936	Actinomyces_neuii	0
SL259937	Actinomyces_neuii	0
SL259943	Actinomyces_neuii	0
SL259944	Actinomyces_neuii	0
SL259945	Actinomyces_neuii	0
SL259946	Actinomyces_neuii	0
SL259925	Actinomyces_odontolyticus	0
SL259926	Actinomyces_odontolyticus	0
SL259927	Actinomyces_odontolyticus	0
SL259928	Actinomyces_odontolyticus	0
SL259934	Actinomyces_odontolyticus	0
SL259935	Actinomyces_odontolyticus	0
SL259936	Actinomyces_odontolyticus	0
SL259937	Actinomyces_odontolyticus	0
SL259943	Actinomyces_odontolyticus	0
SL259944	Actinomyces_odontolyticus	0
SL259945	Actinomyces_odontolyticus	0
SL259946	Actinomyces_odontolyticus	0
SL259925	Actinomyces_oris	0
SL259926	Actinomyces_oris	0
SL259927	Actinomyces_oris	0
SL259928	Actinomyces_oris	0
SL259934	Actinomyces_oris	0
SL259935	Actinomyces_oris	0
SL259936	Actinomyces_oris	0
SL259937	Actinomyces_oris	0
SL259943	Actinomyces_oris	0
SL259944	Actinomyces_oris	0
SL259945	Actinomyces_oris	0
SL259946	Actinomyces_oris	0
SL259925	Actinomyces_timonensis	0
SL259926	Actinomyces_timonensis	0
SL259927	Actinomyces_timonensis	0
SL259928	Actinomyces_timonensis	0
SL259934	Actinomyces_timonensis	0
SL259935	Actinomyces_timonensis	0
SL259936	Actinomyces_timonensis	0
SL259937	Actinomyces_timonensis	0
SL259943	Actinomyces_timonensis	0
SL259944	Actinomyces_timonensis	0
SL259945	Actinomyces_timonensis	0
SL259946	Actinomyces_timonensis	0
SL259925	Actinomyces_turicensis	0
SL259926	Actinomyces_turicensis	0
SL259927	Actinomyces_turicensis	0
SL259928	Actinomyces_turicensis	0
SL259934	Actinomyces_turicensis	0
SL259935	Actinomyces_turicensis	0
SL259936	Actinomyces_turicensis	0
SL259937	Actinomyces_turicensis	0
SL259943	Actinomyces_turicensis	0
SL259944	Actinomyces_turicensis	0
SL259945	Actinomyces_turicensis	0
SL259946	Actinomyces_turicensis	0
SL259925	Actinomyces_viscosus	0
SL259926	Actinomyces_viscosus	0
SL259927	Actinomyces_viscosus	0
SL259928	Actinomyces_viscosus	0
SL259934	Actinomyces_viscosus	0
SL259935	Actinomyces_viscosus	0
SL259936	Actinomyces_viscosus	0
SL259937	Actinomyces_viscosus	0
SL259943	Actinomyces_viscosus	0
SL259944	Actinomyces_viscosus	0
SL259945	Actinomyces_viscosus	0
SL259946	Actinomyces_viscosus	0
SL259925	Mobiluncus_unclassified	0
SL259926	Mobiluncus_unclassified	0
SL259927	Mobiluncus_unclassified	0
SL259928	Mobiluncus_unclassified	0
SL259934	Mobiluncus_unclassified	0
SL259935	Mobiluncus_unclassified	0
SL259936	Mobiluncus_unclassified	0
SL259937	Mobiluncus_unclassified	0
SL259943	Mobiluncus_unclassified	0
SL259944	Mobiluncus_unclassified	0
SL259945	Mobiluncus_unclassified	0
SL259946	Mobiluncus_unclassified	0
SL259925	Varibaculum_cambriense	0
SL259926	Varibaculum_cambriense	0
SL259927	Varibaculum_cambriense	0
SL259928	Varibaculum_cambriense	0
SL259934	Varibaculum_cambriense	0
SL259935	Varibaculum_cambriense	0
SL259936	Varibaculum_cambriense	0
SL259937	Varibaculum_cambriense	0
SL259943	Varibaculum_cambriense	0
SL259944	Varibaculum_cambriense	0
SL259945	Varibaculum_cambriense	0
SL259946	Varibaculum_cambriense	0
SL259925	Brevibacterium_casei	0
SL259926	Brevibacterium_casei	0
SL259927	Brevibacterium_casei	0
SL259928	Brevibacterium_casei	0
SL259934	Brevibacterium_casei	0
SL259935	Brevibacterium_casei	0
SL259936	Brevibacterium_casei	0
SL259937	Brevibacterium_casei	0
SL259943	Brevibacterium_casei	0
SL259944	Brevibacterium_casei	0
SL259945	Brevibacterium_casei	0
SL259946	Brevibacterium_casei	0
SL259925	Brevibacterium_massiliense	0
SL259926	Brevibacterium_massiliense	0
SL259927	Brevibacterium_massiliense	0
SL259928	Brevibacterium_massiliense	0
SL259934	Brevibacterium_massiliense	0
SL259935	Brevibacterium_massiliense	0
SL259936	Brevibacterium_massiliense	0
SL259937	Brevibacterium_massiliense	0
SL259943	Brevibacterium_massiliense	0
SL259944	Brevibacterium_massiliense	0
SL259945	Brevibacterium_massiliense	0
SL259946	Brevibacterium_massiliense	0
SL259925	Brevibacterium_mcbrellneri	0
SL259926	Brevibacterium_mcbrellneri	0
SL259927	Brevibacterium_mcbrellneri	0
SL259928	Brevibacterium_mcbrellneri	0
SL259934	Brevibacterium_mcbrellneri	0
SL259935	Brevibacterium_mcbrellneri	0
SL259936	Brevibacterium_mcbrellneri	0
SL259937	Brevibacterium_mcbrellneri	0
SL259943	Brevibacterium_mcbrellneri	0
SL259944	Brevibacterium_mcbrellneri	0
SL259945	Brevibacterium_mcbrellneri	0
SL259946	Brevibacterium_mcbrellneri	0
SL259925	Brevibacterium_unclassified	0
SL259926	Brevibacterium_unclassified	0
SL259927	Brevibacterium_unclassified	0.25535
SL259928	Brevibacterium_unclassified	0
SL259934	Brevibacterium_unclassified	0
SL259935	Brevibacterium_unclassified	0
SL259936	Brevibacterium_unclassified	0
SL259937	Brevibacterium_unclassified	0
SL259943	Brevibacterium_unclassified	0
SL259944	Brevibacterium_unclassified	0
SL259945	Brevibacterium_unclassified	0
SL259946	Brevibacterium_unclassified	0
SL259925	Cellulomonas_unclassified	0
SL259926	Cellulomonas_unclassified	0
SL259927	Cellulomonas_unclassified	0
SL259928	Cellulomonas_unclassified	0
SL259934	Cellulomonas_unclassified	0
SL259935	Cellulomonas_unclassified	0
SL259936	Cellulomonas_unclassified	0
SL259937	Cellulomonas_unclassified	0
SL259943	Cellulomonas_unclassified	0
SL259944	Cellulomonas_unclassified	0
SL259945	Cellulomonas_unclassified	0
SL259946	Cellulomonas_unclassified	0
SL259925	Corynebacterium_accolens	0
SL259926	Corynebacterium_accolens	0
SL259927	Corynebacterium_accolens	0
SL259928	Corynebacterium_accolens	0
SL259934	Corynebacterium_accolens	0
SL259935	Corynebacterium_accolens	0
SL259936	Corynebacterium_accolens	0
SL259937	Corynebacterium_accolens	0
SL259943	Corynebacterium_accolens	0
SL259944	Corynebacterium_accolens	0
SL259945	Corynebacterium_accolens	0
SL259946	Corynebacterium_accolens	0
SL259925	Corynebacterium_amycolatum	0
SL259926	Corynebacterium_amycolatum	0
SL259927	Corynebacterium_amycolatum	0
SL259928	Corynebacterium_amycolatum	0
SL259934	Corynebacterium_amycolatum	0
