sample	site	type	location	day	time	timepoint
SL336563	right palm	skin	residence 3	10	morning	19
SL336564	left palm	skin	residence 3	10	morning	19
SL336565	bed headboard	household surface	residence 3	10	morning	19
SL336566	door knob	household surface	residence 3	10	morning	19
SL336567	park/campus handrail	public surface	residence 3	10	morning	19
SL336568	right palm	skin	residence 3	9	morning	17
SL336569	subway exit handrail	public surface	residence 3	10	morning	19
SL336570	left palm	skin	residence 3	9	morning	17
SL336571	subway exit handrail	public surface	residence 3	10	evening	20
SL336572	bed headboard	household surface	residence 3	9	morning	17
SL336573	subway exit handrail	public surface	residence 3	9	evening	18
SL336574	door knob	household surface	residence 3	9	morning	17
SL336575	bed headboard	household surface	residence 3	10	evening	20
SL336576	subway exit handrail	public surface	residence 3	9	morning	17
SL336577	bed headboard	household surface	residence 3	9	evening	18
SL336578	park/campus handrail	public surface	residence 3	9	morning	17
SL336579	door knob	household surface	residence 3	9	evening	18
SL336580	park/campus handrail	public surface	residence 3	9	evening	18
SL336581	park/campus handrail	public surface	residence 3	10	evening	20
SL336582	right palm	skin	residence 3	10	evening	20
SL336583	right palm	skin	residence 3	9	evening	18
SL336584	left palm	skin	residence 3	9	evening	18
SL336585	left palm	skin	residence 3	10	evening	20
SL336586	door knob	household surface	residence 3	10	evening	20
SL336588	left palm	skin	residence 1	3	evening	6
SL336589	door knob	household surface	residence 1	3	evening	6
SL336591	right palm	skin	residence 1	4	morning	7
SL336595	bed headboard	household surface	residence 1	3	evening	6
SL336596	park/campus handrail	public surface	residence 1	4	morning	7
SL336597	door knob	household surface	residence 1	4	morning	7
SL336598	subway exit handrail	public surface	residence 1	3	evening	6
SL336600	left palm	skin	residence 1	4	morning	7
SL336612	bed headboard	household surface	residence 1	5	evening	10
SL336613	door knob	household surface	residence 1	5	evening	10
SL336614	left palm	skin	residence 1	6	evening	12
SL336615	right palm	skin	residence 1	7	evening	14
SL336616	door knob	household surface	residence 1	8	evening	16
SL336619	subway exit handrail	public surface	residence 1	5	evening	10
SL336620	left palm	skin	residence 1	5	evening	10
SL336621	door knob	household surface	residence 1	6	evening	12
SL336622	left palm	skin	residence 1	7	evening	14
SL336623	bed headboard	household surface	residence 1	8	evening	16
SL336626	park/campus handrail	public surface	residence 1	5	evening	10
SL336627	right palm	skin	residence 1	5	evening	10
SL336628	bed headboard	household surface	residence 1	6	evening	12
SL336629	bed headboard	household surface	residence 1	7	evening	14
SL336630	park/campus handrail	public surface	residence 1	8	evening	16
SL336631	park/campus handrail	public surface	residence 4	10	morning	19
SL336633	park/campus handrail	public surface	residence 1	4	evening	8
SL336634	left palm	skin	residence 1	6	morning	11
SL336635	subway exit handrail	public surface	residence 1	7	morning	13
SL336636	door knob	household surface	residence 1	7	evening	14
SL336637	subway exit handrail	public surface	residence 1	8	evening	16
SL336640	subway exit handrail	public surface	residence 1	4	evening	8
SL336641	right palm	skin	residence 1	6	morning	11
SL336642	park/campus handrail	public surface	residence 1	7	morning	13
SL336643	door knob	household surface	residence 1	8	morning	15
SL336644	left palm	skin	residence 1	9	morning	17
SL336645	bed headboard	household surface	residence 1	10	morning	19
SL336646	door knob	household surface	residence 1	5	morning	9
SL336647	door knob	household surface	residence 1	6	morning	11
SL336648	door knob	household surface	residence 1	7	morning	13
SL336649	bed headboard	household surface	residence 1	8	morning	15
SL336650	right palm	skin	residence 1	9	morning	17
SL336651	door knob	household surface	residence 1	10	morning	19
SL336652	bed headboard	household surface	residence 1	5	morning	9
SL336653	bed headboard	household surface	residence 1	6	morning	11
SL336654	bed headboard	household surface	residence 1	7	morning	13
SL336655	left palm	skin	residence 1	8	morning	15
SL336656	door knob	household surface	residence 1	9	morning	17
SL336657	right palm	skin	residence 1	10	morning	19
SL336658	left palm	skin	residence 1	5	morning	9
SL336659	park/campus handrail	public surface	residence 1	6	morning	11
SL336660	left palm	skin	residence 1	7	morning	13
SL336661	right palm	skin	residence 1	8	morning	15
SL336662	bed headboard	household surface	residence 1	9	morning	17
SL336663	left palm	skin	residence 1	10	morning	19
SL336664	bed headboard	household surface	residence 1	4	evening	8
SL336665	subway exit handrail	public surface	residence 1	6	morning	11
SL336666	right palm	skin	residence 1	7	morning	13
SL336667	park/campus handrail	public surface	residence 1	8	morning	15
SL336668	park/campus handrail	public surface	residence 1	9	morning	17
SL336669	bed headboard	household surface	residence 1	9	evening	18
SL336670	right palm	skin	residence 1	5	morning	9
SL336671	park/campus handrail	public surface	residence 1	6	evening	12
SL336672	subway exit handrail	public surface	residence 1	7	evening	14
SL336673	subway exit handrail	public surface	residence 1	8	morning	15
SL336674	subway exit handrail	public surface	residence 1	9	morning	17
SL336675	door knob	household surface	residence 1	9	evening	18
SL336676	subway exit handrail	public surface	residence 1	5	morning	9
SL336677	subway exit handrail	public surface	residence 1	6	evening	12
SL336678	subway exit handrail	public surface	residence 1	1	morning	1
SL336679	left palm	skin	residence 1	8	evening	16
SL336680	park/campus handrail	public surface	residence 1	9	evening	18
SL336681	right palm	skin	residence 1	9	evening	18
SL336682	park/campus handrail	public surface	residence 1	5	morning	9
SL336683	right palm	skin	residence 1	6	evening	12
SL336684	park/campus handrail	public surface	residence 1	7	evening	14
SL336685	right palm	skin	residence 1	8	evening	16
SL336686	subway exit handrail	public surface	residence 1	9	evening	18
SL336687	left palm	skin	residence 1	9	evening	18
SL336688	left palm	skin	residence 3	1	morning	1
SL336689	left palm	skin	residence 3	2	morning	3
SL336690	right palm	skin	residence 3	3	morning	5
SL336691	right palm	skin	residence 3	6	morning	11
SL336692	right palm	skin	residence 3	4	morning	7
SL336693	right palm	skin	residence 3	5	morning	9
SL336694	right palm	skin	residence 3	7	morning	13
SL336695	right palm	skin	residence 3	8	morning	15
SL336696	right palm	skin	residence 3	1	morning	1
SL336697	right palm	skin	residence 3	2	morning	3
SL336698	left palm	skin	residence 3	3	morning	5
SL336699	left palm	skin	residence 3	4	morning	7
SL336700	left palm	skin	residence 3	5	morning	9
SL336701	left palm	skin	residence 3	6	morning	11
SL336702	left palm	skin	residence 3	7	morning	13
SL336703	left palm	skin	residence 3	8	morning	15
SL336704	door knob	household surface	residence 3	1	morning	1
SL336705	door knob	household surface	residence 3	2	morning	3
SL336706	door knob	household surface	residence 3	3	morning	5
SL336707	bed headboard	household surface	residence 3	4	morning	7
SL336708	bed headboard	household surface	residence 3	5	morning	9
SL336709	bed headboard	household surface	residence 3	6	morning	11
SL336710	bed headboard	household surface	residence 3	7	morning	13
SL336711	bed headboard	household surface	residence 3	8	morning	15
SL336712	bed headboard	household surface	residence 3	1	morning	1
SL336713	bed headboard	household surface	residence 3	2	morning	3
SL336714	bed headboard	household surface	residence 3	3	morning	5
SL336715	door knob	household surface	residence 3	4	morning	7
SL336716	door knob	household surface	residence 3	5	morning	9
SL336717	door knob	household surface	residence 3	6	morning	11
SL336718	door knob	household surface	residence 3	7	morning	13
SL336719	door knob	household surface	residence 3	8	morning	15
SL336720	park/campus handrail	public surface	residence 3	1	morning	1
SL336721	park/campus handrail	public surface	residence 3	2	morning	3
SL336722	park/campus handrail	public surface	residence 3	3	evening	6
SL336723	subway exit handrail	public surface	residence 3	4	morning	7
SL336724	park/campus handrail	public surface	residence 3	5	morning	9
SL336725	park/campus handrail	public surface	residence 3	6	morning	11
SL336726	subway exit handrail	public surface	residence 3	7	morning	13
SL336727	subway exit handrail	public surface	residence 3	8	morning	15
SL336728	subway exit handrail	public surface	residence 3	1	morning	1
SL336729	subway exit handrail	public surface	residence 3	2	morning	3
SL336730	subway exit handrail	public surface	residence 3	3	evening	6
SL336731	park/campus handrail	public surface	residence 3	4	morning	7
SL336732	subway exit handrail	public surface	residence 3	5	morning	9
SL336733	subway exit handrail	public surface	residence 3	6	morning	11
SL336734	park/campus handrail	public surface	residence 3	7	morning	13
SL336735	park/campus handrail	public surface	residence 3	8	morning	15
SL336737	right palm	skin	residence 3	2	evening	4
SL336738	subway exit handrail	public surface	residence 3	3	morning	5
SL336739	park/campus handrail	public surface	residence 3	4	evening	8
SL336741	park/campus handrail	public surface	residence 3	6	evening	12
SL336742	subway exit handrail	public surface	residence 3	7	evening	14
SL336743	right palm	skin	residence 3	8	evening	16
SL336744	subway exit handrail	public surface	residence 3	1	evening	2
SL336745	left palm	skin	residence 3	2	evening	4
SL336746	park/campus handrail	public surface	residence 3	3	morning	5
SL336747	subway exit handrail	public surface	residence 3	4	evening	8
SL336748	park/campus handrail	public surface	residence 3	5	evening	10
SL336749	subway exit handrail	public surface	residence 3	6	evening	12
SL336750	park/campus handrail	public surface	residence 3	7	evening	14
SL336751	left palm	skin	residence 3	8	evening	16
SL336752	door knob	household surface	residence 3	1	evening	2
SL336753	bed headboard	household surface	residence 3	2	evening	4
SL336754	door knob	household surface	residence 3	3	evening	6
SL336755	door knob	household surface	residence 3	4	evening	8
SL336756	bed headboard	household surface	residence 3	5	evening	10
SL336757	bed headboard	household surface	residence 3	6	evening	12
SL336758	bed headboard	household surface	residence 3	7	evening	14
SL336759	subway exit handrail	public surface	residence 3	8	evening	16
SL336760	bed headboard	household surface	residence 3	1	evening	2
